Common_Name,Status,Population,Sci_Name,Height,Weight,Length,Habitats,Description,Image_URL,Threats
Galápagos Penguin,Endangered,fewer than 2000,Spheniscus mendiculus,,5.5 pounds,19 inches long,Oceans,This is the only penguin species found north of the equator and in the Galápagos. ,https://files.worldwildlife.org/wwfcmsprod/images/Galapagos_Penguins/hero_small/1lpkp9pjj3_flipMedium_WW1103163.jpg,"Penguins are threatened by pollution, bycatch and climate change. Introduced species, such as dogs, carry diseases that can spread to penguins as well, and cats pose a threat as predators. Past strong El Niño events have caused mortalities of up to 77 percent, with dramatic declines of prey species and reduced breeding success."
Ganges River Dolphin,Endangered,"3,500-5,000",Platanista gangetica gangetica,,330-374 pounds,7-8.9 feet,Freshwater rivers,"Dolphins are one of the oldest creatures in the world along with some species of turtles, crocodiles and sharks. The Ganges river dolphin was officially discovered in 1801. Ganges river dolphins once lived in the Ganges-Brahmaputra-Meghna and Karnaphuli-Sangu river systems of Nepal, India, and Bangladesh. But the species is extinct from most of its early distribution ranges.The Ganges river dolphin can only live in freshwater and is essentially blind. They hunt by emitting ultrasonic sounds, which bounces off of fish and other prey, enabling them to “see” an image in their mind. They are frequently found alone or in small groups, and generally a mother and calf travel together. Calves are chocolate brown at birth and then have grey-brown smooth, hairless skin as adults. Females are larger than males and give birth once every two to three years to only one calf.",https://files.worldwildlife.org/wwfcmsprod/images/Ganges_River_Dolphin_114110.jpg/hero_small/6trcactwri_Ganges_River_Dolphin_7.26.2012_hero_and_circle_HI_114110.jpg,
Giant Panda,Vulnerable,"1,864 in the wild",Ailuropoda melanoleuca,Adults can grow to more than four feet.,220–330 pounds,,Temperate broadleaf and mixed forests of southwest China,"The panda, with its distinctive black and white coat, is adored by the world and considered a national treasure in China. This bear also has a special significance for WWF because it has been our logo since our founding in 1961.Pandas live mainly in temperate forests high in the mountains of southwest China, where they subsist almost entirely on bamboo. They must eat around 26 to 84 pounds of it every day, depending on what part of the bamboo they are eating. They use their enlarged wrist bones that function as opposable thumbs.A newborn panda is about the size of a stick of butter—about 1/900th the size of its mother—but females can grow up to about 200 pounds, while males can grow up to about 300 pounds as adults. These bears are excellent tree climbers despite their bulk.",https://files.worldwildlife.org/wwfcmsprod/images/Panda_in_Tree/hero_small/99i33zyc0l_Large_WW170579.jpg,
Giant Tortoise,Vulnerable,,,,up to 700 pounds,up to 4 feet long,,"There are many subspecies of giant tortoises that are found on different islands and have different appearances. Those that live on the larger islands where there is more rain have “dome” shaped shells, while those that live in drier conditions are smaller tortoises and have a “saddleback” shell.On June 24, 2012, the world-famous giant tortoise affectionately known as “Lonesome George” passed away. He was the last surviving land tortoise from Pinta Island, one of the northern islands in the Galápagos. Thought to be 100 years old, Lonesome George lived at the Charles Darwin Research Station since he was found in 1971. For more than three decades, the Galápagos National Park tried to save the Pinta subspecies by finding George a mate. Unfortunately they did not succeed. Sadly with Lonesome George’s passing, there will be no more Pinta Island tortoises. ",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Giant_Tortoise/hero_small/1cylh0cts4_Medium_WW288394.jpg,"The giant tortoise is threatened by introduced species to the islands, such as dogs and cats which prey on young tortoises, and cattle which compete for grazing vegetation. "
Gorilla,,"100,000 to 200,000",Gorilla gorilla and Gorilla beringei,4-6 ft.,up to 440 pounds,,,"Gorillas are gentle giants and display many human-like behaviors and emotions, such as laughter and sadness. In fact, gorillas share 98.3% of their genetic code with humans, making them our closest cousins after chimpanzees and bonobos. The largest of the great apes, gorillas are stocky animals with broad chests and shoulders, large, human-like hands, and small eyes set into hairless faces. The two gorilla species live in equatorial Africa, separated by about 560 miles of Congo Basin forest. Each has a lowland and upland subspecies. Gorillas live in family groups of usually five to 10, but sometimes two to more than 50, led by a dominant adult male—or silverback—who holds his position for years. The bond between the silverback and his females forms the basis of gorilla social life. Females become sexually mature around seven or eight years old but don’t begin to breed until a couple of years later. Males mature at an even greater age. Once a female begins to breed, she'll likely give birth to only one baby every four to six years and only three or four over her entire lifetime. This low rate of reproduction makes it difficult for gorillas to recover from population declines. Both gorilla species have been decreasing in numbers for decades, and a 2010 United Nations report suggests that they may disappear from large parts of the Congo Basin by the mid-2020s.Conservation efforts by WWF, other organizations, and governments are making a difference for gorillas. New protected areas are being designated for some gorilla populations, and the population of mountain gorillas has continued to increase in recent years, leading to its downlisting from Critically Endangered to Endangered in November 2018.",https://files.worldwildlife.org/wwfcmsprod/images/Mountain_Gorilla_Silverback_WW22557/hero_small/4vzzw2piv9_Mountain_Gorilla_Silverback_WW22557.jpg,"Like humans, gorillas reproduce slowly, giving birth to only one baby at a time and then raising that infant for several years before giving birth again. This slow reproduction rate makes gorillas especially vulnerable to any population declines.Habitat destruction is a problem across their central African range. Gorillas are also killed for the bushmeat trade, or accidently killed or maimed by iron snares that are set in the forests in search for other bushmeat species such as pigs (red river hog). That trade has helped spread the Ebola virus, which is deadly to both gorillas and humans. Efforts to protect gorillas are often hampered by weak law enforcement, lack of rule of law, and civil unrest in many places where gorillas live."
Gray Whale,Least Concern,estimated 150 individuals (western population); stable (eastern population),Eschrichtius robustus,,,between 40 and 50 feet long,Oceans,"Gray whales have a hump and a ridge of sharp bumps along their backs, instead of a dorsal fin. They are a type of baleen whale, which means they filter food from the water through special bristly structures in their mouths. Gray whales stay close to shore and feed in shallow water. Their well-known migrations take them between feeding and breeding areas, swimming as much as 12,000 miles round trip.Critically endangered western gray whales migrate into their summer feeding grounds near Sahkalin Island, Russia in late May or early June and return to their winter feeding grounds in the South China Sea in late autumn. Summer feeding grounds for the eastern population lie in the Bering and Chukchi Seas between Alaska and Russia. In the winter, these eastern gray whales migrate south along the west coast of the US to Mexico to breed and have their calves.The calm, warm waters of the lagoons are a safe place for young whales, free from predators like killer whales. Locals here affectionately call gray whales ""friendly ones"" as they have an unusual tendency to approach whale-watching boats and check out the occupants.",https://files.worldwildlife.org/wwfcmsprod/images/Gray_Whale_Hero_image__c__naturepl.com_Mark_Carwardine_WWF.jpg/hero_small/2i4wjqu7qj_Gray_Whale_Hero_image__c__naturepl.com_Mark_Carwardine_WWF.jpg,"Oil and gas development, entanglement in fishing gear, and collisions with ships threaten gray whales. The western North Pacific gray whale is on the verge of extinction because of such threats. The waters off Russia’s Sakhalin Island, a main feeding habitat for them in the summer, are being targeted for oil and gas development. In the eastern Pacific Ocean, the potential for oil and gas exploration in the Bering and Chukchi Seas also exists. Whales are very sensitive to noise and such industrial activities generate massive underwater booms. The gray whale must get an entire year’s worth of food during those summer months and any disruption could have significant impact on this process."
Great White Shark,Vulnerable,,Carcharodon carcharias,,"4,000-7,000 pounds",16-20 feet,Oceans,"The great white shark is the world's largest known predatory fish. It has 300 teeth, yet does not chew its food. Sharks rip their prey into mouth-sized pieces which are swallowed whole. The shark’s heavy, torpedo-shaped body allows it to cruise efficiently for long periods of time, and then suddenly switch to high speed bursts in pursuit of prey—sometimes leaping out of the water. It feeds on a broad spectrum of prey, from small fish, such as halibut, to large seals and dolphins.",https://files.worldwildlife.org/wwfcmsprod/images/Great_White_Shark_Circle_and_Hero_Image/hero_small/4xiu3sxbqd_Species_Great_White_Shark_WWF_Carlos_Aguilera.jpg,"Great white sharks are decreasing in numbers and are rare due to years of being hunted by man for fins and teeth, and often as a trophy for sport fishing. The white shark is often caught as bycatch by commercial fisheries and can also become entangled in meshes that protect beaches."
Greater One-Horned Rhino,Vulnerable,"Around 3,700",Rhinoceros unicornis,5.75 - 6.5 feet,"4,000-6,000 pounds",10- 12.5 feet,"Tropical and Subtropical Grasslands, Savannas, and Shrublands","The greater one-horned rhino (or “Indian rhino”) is the largest of the rhino species. Once widespread across the entire northern part of the Indian sub-continent, rhino populations plummeted as they were hunted for sport or killed as agricultural pests. This pushed the species very close to extinction and by the start of the 20th century, around 200 wild greater one-horned rhinos remained.The recovery of the greater one-horned rhino is among the greatest conservation success stories in Asia. Thanks to strict protection and management from Indian and Nepalese wildlife authorities, the greater one-horned rhino was brought back from the brink. Today populations have increased to around 3,700 rhinos in northeastern India and the Terai grasslands of Nepal.The greater one-horned rhino is identified by a single black horn about 8-25 inches long and a grey-brown hide with skin folds, which gives it an armor-plated appearance. The species is solitary, except when adult males or rhinos nearing adulthood gather at wallows or to graze. Males have loosely defined home ranges that are not well defended and often overlap. They primarily graze, with a diet consisting almost entirely of grasses as well as leaves, branches of shrubs and trees, fruit, and aquatic plants.",https://files.worldwildlife.org/wwfcmsprod/images/Greater_One_Horned_Rhino_8.6.2012_Hero_and_Circle_HI_107996.jpg/hero_small/t0osmdlpd_Greater_One_Horned_Rhino_8.6.2012_Hero_and_Circle_HI_107996.jpg,
Greater Sage-Grouse,Near Threatened,"100,000 to 500,000",Centrocercus urophasianus,2 feet,2-7 pounds,21-30 inches,Grasslands,"Greater sage-grouse were once found across 13 western U.S. states and 3 Canadian provinces. Unfortunately, because of oil and gas development, conversion of land for agricultural use, climate change and human development, sage-grouse only inhabit half their historic range. Well known for their spectacular mating dances performed on specific mating grounds called ""leks,"" these large birds are icons in the western U.S. and Canada.",https://files.worldwildlife.org/wwfcmsprod/images/SCR_202579.jpg/hero_small/6dz6wfcu7n_SCR_202579.jpg,Oil and gas development disrupts the landscape and the sage-grouse's ability to reproduce. Predators often perch on the energy towers which is intimidating for the birds.  Loud sounds from the towers also disrupt the grouse's ability to call for mates.
Green Turtle,Endangered,,Chelonia mydas,,150-400 pounds,31-47 inches,Oceans,"The green turtle is one of the largest sea turtles and the only herbivore among the different species. Green turtles are in fact named for the greenish color of their cartilage and fat, not their shells. In the Eastern Pacific, a group of green turtles that have darker shells are called black turtles by the local community. Green turtles are found mainly in tropical and subtropical waters. Like other sea turtles, they migrate long distances between feeding grounds and the beaches from where they hatched. Classified as endangered, green turtles are threatened by overharvesting of their eggs, hunting of adults, being caught in fishing gear and loss of nesting beach sites.",https://files.worldwildlife.org/wwfcmsprod/images/Green_Turtle_Hero_image_260214.jpg/hero_small/4c6b2u4a4o_Green_Turtle_Hero_image_260214.jpg,
Hawksbill Turtle,Critically Endangered,,Eretmochelys imbricata,,90-150 pounds,30-35 inches,Oceans,"Hawksbills are named for their narrow, pointed beak. They also have a distinctive pattern of overlapping scales on their shells that form a serrated-look on the edges. These colored and patterned shells make them highly-valuable and commonly sold as ""tortoiseshell"" in markets.Hawksbills are found mainly throughout the world's tropical oceans, predominantly in coral reefs. They feed mainly on sponges by using their narrow pointed beaks to extract them from crevices on the reef, but also eat sea anemones and jellyfish. Sea turtles are the living representatives of a group of reptiles that has existed on Earth and travelled our seas for the last 100 million years. They are a fundamental link in marine ecosystems and help maintain the health of coral reefs and sea grass beds.",https://files.worldwildlife.org/wwfcmsprod/images/DO_NOT_USE_Hawksbill_Turtle/hero_small/5a94z3yczo_Medium_WW22305.jpg,"Like other sea turtles, hawksbills are threatened by the loss of nesting and feeding habitats, excessive egg collection, fishery-related mortality, pollution, and coastal development. However, they are most threatened by wildlife trade."
Hector's Dolphin,Endangered,estimated at 7000,Cephalorhynchus hectori,,up to 110 pounds,4 feet,Oceans,"Hector’s dolphins are the smallest and rarest marine dolphins in the world. They have distinct black facial markings, short stocky bodies and a dorsal fin shaped like a Mickey Mouse ear. There is a subspecies of Hector’s dolphin known as Maui’s dolphin that is critically endangered and estimated to have a population of only 55. They are found only in the shallow coastal waters along western shores of New Zealand’s North Island.",https://files.worldwildlife.org/wwfcmsprod/images/Hectors_Dolphin/hero_small/977k5v8nb3_shutterstock_1205907409.jpg,"Living close to shore is a problem for the dolphins. Bycatch—becoming tangled in recreational and commercial gill and trawl nets—is the biggest threat they face.  Gillnets, for example, are made of a fine mesh that dolphins are unable to detect underwater and they accidentally swim into them and become caught. Other threats include being struck by boats, pollution in their habitat, coastal development and seabed mining."
Hippopotamus,Vulnerable,"115,000 to 130,000",Hippopotamus amphibius,,,,,"The hippopotamus, also known as the “river horse,” lives along the rivers and lakes throughout sub-Saharan Africa. Weighing up to 8,000 pounds, the hippo is the heaviest land animal after the elephant. Hippos seek refuge from the heat by living in water during the day, and at night they come ashore to feed on short, soft grasses and fallen fruit. The eyes and ears of a hippopotamus are on top of its head, so it can keep watch for enemies—mainly crocodiles—while lying low in the water. These giants are currently at risk from habitat loss.",https://files.worldwildlife.org/wwfcmsprod/images/Hippos_Hero/hero_small/5pvm5wsdjg_Medium_WW1113453.jpg,
Humphead Wrasse,Endangered,,Cheilinus undulatus,,over 400 pounds,6 feet,Oceans,"The humphead wrasse is an enormous coral reef fish—growing over six feet long—with a prominent bulge on its forehead. Some of them live to be over 30 years old. They roam through coral reefs in search of hard shelled prey such as mollusks, starfish, or crustaceans.WWF urges local governments in the Coral Triangle to stop the trade and consumption of humphead wrasse—one of the most expensive live reef fishes in the world. Live reef fish trade in Southeast Asia continues to be a significant problem that threatens the region’s food security as well as its reefs, as poachers often resort to legal and destructive fishing methods to catch them.",https://files.worldwildlife.org/wwfcmsprod/images/Humphead_Wrasse/hero_small/3sibeliiqy_Medium_WW180520.jpg,The humphead wrasse is highly vulnerable to overfishing because it’s a valued luxury food as a part of the live reef fish trade predominant across Southeast Asia.
Indian Elephant,Endangered,"20,000 – 25,000",Elephas maximus indicus,6-11 feet at the shoulder,5 tons,up to 21 feet,"Subtropical broadleaf forest, tropical broadleaf moist forest, dry forest, grassland","Indian elephants may spend up to 19 hours a day feeding and they can produce about 220 pounds of dung per day while wandering over an area that can cover up to 125 square miles. This helps to disperse germinating seeds. They feed mainly on grasses, but large amounts of tree bark, roots, leaves and small stems are also eaten. Cultivated crops such as bananas, rice and sugarcane are favored foods as well. Since they need to drink at least once a day, these elephants are always close to a source of fresh water.",https://files.worldwildlife.org/wwfcmsprod/images/Indian_elephant_bathing_08.10.2012_Species/hero_small/thcxue91x_HI_47311.jpg,"The quest for land by an increasing human population throughout the Indian elephant’s habitat is leaving little room for them. Illegal encroachment into protected areas and forest clearing for roads or other development are all causing habitat loss and fragmentation. Habitat loss not only leaves elephants without reliable food sources and shelter, it can also cause them to be confined to isolated populations that cannot follow ancient migratory routes or mix with other herds."
Indus River Dolphin,Endangered,"1,816",Platanista minor,,155 - 245 pounds,8.2 ft,,"Indus river dolphins are believed to have originated in the ancient Tethys Sea. When the sea dried up approximately 50 million years ago, the dolphins were forced to adapt to its only remaining habitat—rivers. Today, they can only be found in the lower parts of the Indus River in Pakistan and in River Beas, a tributary of the Indus River in Punjab, India. In Pakistan, their numbers declined dramatically after the construction of an irrigation system, and most dolphins are confined to a 750 mile stretch of the river and divided into isolated populations by six barrages. They have adapted to life in the muddy river and are functionally blind. They rely on echolocation to navigate, communicate and hunt prey including prawns, catfish, and carp.",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Indus_River_Dolphin/hero_small/6qlzt26vcs_114120.jpg,"The main reason for the initial decline of the Indus river dolphin population was the construction of numerous dams and barrages that began in the 1930s. This construction split the population into small groups, degraded their habitat and impeded migration. Now the major threats include accidental capture in fishing nets, plus they are hunted for their meat, oil and for use in traditional medicines."
Irrawaddy Dolphin,Endangered,,Orcaella brevirostris,,198-440 pounds,5.9-9 feet,"Lakes, Rivers, Estuaries, and Coasts","Irrawaddy dolphins are found in coastal areas in South and Southeast Asia, and in three rivers: the Ayeyarwady (Myanmar), the Mahakam (Indonesian Borneo) and the Mekong. The Mekong River Irrawaddy dolphins inhabit a 118-mile stretch of the river between Cambodia and Lao PDR and are scarce—just 92 individuals are estimated to still exist. These dolphins have a bulging forehead, short beak, and 12-19 teeth on each side of both jaws.",https://files.worldwildlife.org/wwfcmsprod/images/Irrawaddy_Dolphin_Mekong_Story_Photo_Gallery/hero_small/1yh1bmlzfk_Mekong_Irrawaddy_Dolphin_breaching__c__WWF_Greater_Mekong.jpg,"Irrawaddy dolphins are primarily threatened by bycatch, the accidental capture of aquatic animals in fishing gear."
Jaguar,Near Threatened,,Panthera onca,,,Up to 6 ft.,"Forests, Grasslands","Jaguars are mighty cats most easily recognized by the bold rosettes generously spotted across their tawny-colored coats. They have thick, stocky legs and short, round ears. The jaguar has the strongest of all the felines. The name “jaguar” originates from the Tupi and Guarani languages of South America from the word yaguareté, or “true, fierce beast and he who kills in one leap.” The majestic jaguar is a symbol of power for many Latin-American cultures, it represents the power of nature and is seen as the protector of the rainforest.Jaguars are the third-largest cat in the world and can weigh over 300 pounds. However, their size varies by region, with jaguars in Central America being smaller than those found in the Amazon and the Pantanal. Jaguars are strictly carnivorous and are considered opportunistic hunters, meaning they will prey on almost any animal that crosses their path. Deer, peccaries, tapirs, iguanas, capybaras, armadillos, and monkeys are among the many kinds of animals that fall prey to jaguars. The powerful bite of jaguars makes them excellent hunters; their teeth possess the strength to pierce through crocodile hides and turtle shells. Once jaguars acquire meat for consumption, they use pointy bumps on their tongues, called papillae, to scrape the meat from its bones.These magnificent cats are distributed from Mexico to Argentina across 18 countries, and Brazil holds around half of the wild jaguars in the world. Their habitats include wet and dry forests, savannahs, and shrublands. Jaguars are strong swimmers and climbers and are dependent on healthy freshwater systems and access to great amounts of territory for survival.",https://files.worldwildlife.org/wwfcmsprod/images/Jaguar_GPN7474/hero_small/63qidi36cn_Responsible_Forestry_8.10.2012_Biodiversiry_Loss_HI_7474.jpg,
Javan Rhino,Critically Endangered,Around 60,Rhinoceros sondaicus,4.6–5.8 feet,"1,984 - 5,071 pounds",10–10.5 feet,Tropical forests,"Javan rhinos are the most threatened of the five rhino species, with only around 60 individuals that live only in Ujung Kulon National Park in Java, Indonesia. Javan rhinos once lived throughout northeast India and Southeast Asia. Vietnam’s last Javan rhino was poached in 2010.This species is a dusky grey color and has a single horn of up to about 10 inches. Its skin has a number of loose folds, giving the appearance of armor plating. The Javan rhino is very similar in appearance to the closely-related greater one-horned rhinoceros, but has a much smaller head and less apparent skin folds.",https://files.worldwildlife.org/wwfcmsprod/images/Javan_Rhino_7_14_2015_HERO/hero_small/mfvrot8yp__H9A0249.jpg,"Javan rhinos are found in only one protected area in the world. The biology of the species is poorly understood, but we are starting to learn more about the species ecology and behavior thanks to very intensive monitoring of the population. They are extremely vulnerable to extinction due to catastrophes, habitat loss, diseases, poaching, and potential inbreeding."
African Elephant,,"Approximately 415,000 in the wild",Loxodonta africana,Shoulder height is 11 feet,6 tons,19-24 feet,"Tropical and Subtropical Moist Broadleaf Forests, Flooded Grasslands and Savannahs, Miombo woodlands, Acacia savannahs","African elephants are the largest animals walking the Earth. Their herds wander through 37 countries in Africa. They are easily recognized by their trunk that is used for communication and handling objects. And their large ears allow them to radiate excess heat. Upper incisor teeth develop into tusks in African elephants and grow throughout their lifetime. There are two species of African elephants—the savanna (or bush) elephant and the forest elephant. Savanna elephants are larger than forest elephants, and their tusks curve outwards. In addition to being smaller, forest elephants are darker and their tusks are straighter and point downward. There are also differences in the size and shape of the skull and skeleton between the two species.Forest elephants are uniquely adapted to the dense forest habitat of the Congo Basin, but are in sharp decline due to poaching for the international ivory trade and habitat loss and fragmentation. It is estimated that probably one-quarter to one-third of the total African elephant population is made up of forest elephants.",https://files.worldwildlife.org/wwfcmsprod/images/African_Elephant_7.27.2012_hero_and_circle_HI_53941.jpg/hero_small/37c9k1643y_African_Elephant_7.27.2012_hero_and_circle_HI_53941.jpg,"Numbering three to five million in the last century, African elephant populations were severely reduced to its current levels because of hunting. In the 1980s, an estimated 100,000 elephants were killed each year and up to 80% of herds were lost in some regions. In recent years, growing demand for ivory, particularly from Asia, has led to a surge in poaching. Populations of elephants—especially in southern and eastern Africa—that once showed promising signs of recovery could be at risk due to the recent surge in poaching for the illegal ivory trade."
African forest elephant,Critically Endangered,,,8-10 feet,2-5 tons,,dense tropical forests,"African forest elephants are the elusive cousin of the African savanna elephant. They inhabit the dense rainforests of west and central Africa. Their preference for dense forest habitat prohibits traditional counting methods such as visual identification. Their population is usually estimated through ""dung counts""—an analysis on the ground of the density and distribution of the feces.African forest elephants are smaller than African savanna elephants, the other African elephant species. Their ears are more oval-shaped and their tusks are straighter and point downward (the tusks of savanna elephants curve outwards). There are also differences in the size and shape of the skull and skeleton. Forest elephants also have a much slower reproductive rate than savanna elephants, so they cannot bounce back from population declines as quickly at the same rate. Their last strongholds are located in Gabon and the Republic of Congo, with smaller populations remaining in other African countries (Cameroon, Central African Republic, Equatorial Guinea) and Côte d'Ivoire, Liberia, and Ghana in west Africa.African forest elephants live in family groups of up to 20 individuals and forage on leaves, grasses, seeds, fruit, and tree bark. Since the diet of forest elephants is dominated by fruit, they play a crucial role in dispersing many tree species, particularly the seeds of large trees which tend to have high carbon content. They are therefore referred to as the 'mega-gardener of the forest'. To supplement their diet with minerals, they gather at mineral-rich waterholes and mineral licks found throughout the forest.",https://files.worldwildlife.org/wwfcmsprod/images/forest_elephant_WW139203/hero_small/5rwvqrm1jx_Medium_WW139203.jpg,"Both African elephant species are threatened foremost by habitat loss and habitat fragmentation due to conversion of forests for agriculture, livestock farming, and human infrastructure. As a result, human-elephant conflict has increased. Poaching for ivory is the most immediate threat for African forest elephants. Their populations declined by 62% between 2002 and 2011 and during that period, the species also lost 30% of its geographical range. As this downward trend continues, the African forest elephant was declared Critically Endangered by the IUCN in 2021."
African savanna elephant,Endangered,,Loxodonta africana africana,10-13 feet,4-7 tons,,All of sub-Saharan Africa except for Central Africa’s dense tropical forest,"African savanna elephants are the largest species of elephant and the biggest terrestrial animal on Earth. They are easily distinguished by their very large ears—which allow them to radiate excess heat—and front legs which are noticeably longer than the hind legs. African savanna elephants are found in 23 countries and live in a variety of habitats, from open and wooded savannas to even some deserts and forests. The largest populations are in Southern and Eastern African countries, including Botswana, Zimbabwe, Tanzania, Kenya, Namibia, Zambia, and South Africa.As a result of their visibility within the open areas where they live, African savanna elephants are well studied and populations are easily estimated. Each family unit usually consists of around 10 females and their calves, and the bulls associate with these herds only during mating. Several family units often join together to form a “clan” consisting of up to several hundred members led by a female matriarch. Due to their habitat, savanna elephants are often found grazing on grasses, but they also browse on a wide variety of plants and fruits. This selection varies depending on the time of year; during the rainy season the elephant will feed more on grass than during the dry season.",https://files.worldwildlife.org/wwfcmsprod/images/African_Savanna_Elephant_07.30.2012_Hero/hero_small/fzatpwdrr_HI_17486.jpg,"Savanna elephants contribute to the maintenance of the savannas and open woodlands by reducing tree densities. Without them, many other plants and animals would not survive in the woodland areas."
African Wild Dog,Endangered,"1,409",Lycaon pictus,30 inches,40-70 pounds,30-56 inches,"Deserts, Forests, Grasslands","The wild dog is one of the world’s most endangered mammals. The largest populations remain in southern Africa and the southern part of East Africa (especially Tanzania and northern Mozambique).Wild dogs are social and gather in packs of around ten individuals, but some packs number more than 40. They are opportunistic predators that hunt medium-sized ruminants, such as gazelles. In a sprint, African wild dogs can reach speeds of more than 44 miles per hour.",https://files.worldwildlife.org/wwfcmsprod/images/African_wild_dogs_magazine_HERO__winter_2013/hero_small/374cozwovs_wild_dogs_web.jpg,"Major threats to the survival of wild dogs include accidental and targeted killings by humans, viral diseases like rabies and distemper, habitat loss and competition with larger predators like lions. Conflicts occur when wild dogs come in contact with people whose livelihoods rest largely on livestock and agriculture. Problems arise when expanding human activities decrease the habitat for available prey for wild dogs."
Albacore Tuna,Near Threatened,,Thunnus alalunga,,80 pounds,up to 4 feet long,Ocean,"Albacore is one of the smaller tuna species, reaching sizes between skipjack and yellowfin. They are bullet-shaped with a dark blue back and lighter blue-gray sides and belly. Albacore tuna also have very long pectoral fins and live for around 12 years. They tend to travel in single species schools, without the level of mixing as seen in other species and migrate throughout all ocean waters and the Mediterranean.",https://files.worldwildlife.org/wwfcmsprod/images/tuna_102948248.jpg/carousel_small/xcyuoz0ex_tuna_102948248.jpg,"According to information collected by the ISSF Scientific Advisory Committee, the northern and southern Atlantic Ocean stocks of albacore are overfished."
Amazon River Dolphin,,,Scientific Name Inia geoffrensis,,Up to 352 pounds,Up to 9.2 feet,Rivers and Lakes,"The Amazon river dolphin, also known as the pink river dolphin or boto, lives only in freshwater. It is found throughout much of the Amazon and Orinoco river basins in Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, and Venezuela. It is a relatively abundant freshwater cetacean with an estimated population in the tens of thousands. However, it is classified as vulnerable in certain areas due to dams that fragment and threaten certain populations, and from other threats such as contamination of rivers and lakes.",https://files.worldwildlife.org/wwfcmsprod/images/Amazon_River_Dolphin_7.25.2012_Circle_and_Hero_XL_257657.jpg/hero_small/5lm3mawubh_Amazon_River_Dolphin_7.25.2012_Circle_and_Hero_XL_257657.jpg,
Amur Leopard,Critically Endangered,More than 84 individuals,Panthera pardus orientalis,,70 -105 pounds,,"Temperate, Broadleaf, and Mixed Forests","People usually think of leopards in the savannas of Africa but in the Russian Far East, a rare subspecies has adapted to life in the temperate forests that make up the northern-most part of the species’ range. Similar to other leopards, the Amur leopard can run at speeds of up to 37 miles per hour. This incredible animal has been reported to leap more than 19 feet horizontally and up to 10 feet vertically.The Amur leopard is solitary. Nimble-footed and strong, it carries and hides unfinished kills so that they are not taken by other predators. It has been reported that some males stay with females after mating, and may even help with rearing the young. Several males sometimes follow and fight over a female. They live for 10-15 years, and in captivity up to 20 years. The Amur leopard is also known as the Far East leopard, the Manchurian leopard or the Korean leopard.",https://files.worldwildlife.org/wwfcmsprod/images/Amur_Leopard_/hero_small/k6vvkt4tj_amur_leopard_99144569.jpg,
Arctic Fox,Least Concern,Several hundred thousand,Vulpes lagopus,11 inches,3 to 20 pounds,18 to 27 inches,Tundra,"The Arctic fox is primarily a carnivore that lives inland, away from the coasts. They are dependent on the presence of smaller animals (most often lemmings) to survive.  Arctic foxes also hunt for sea birds, fish, and other marine life. Smaller rodent populations waver between times of abundance and scarcity, which leaves the Arctic fox vulnerable when these creatures are low in numbers.",https://files.worldwildlife.org/wwfcmsprod/images/Arctic_Fox/hero_small/1tsx49vxu2_shutterstock_103864847.jpg,The scarcity of prey is the most prevalent threat for the Arctic fox. Disease and genetic pollution of the species by foxes bred in captivity also threatens this species.
Arctic Wolf,Least Concern,,Canis lupus arctos,,70 to 175 pounds,3.2 to 5.9 feet,Tundra,"Often called the ""polar wolf"" or ""white wolf,"" Arctic wolves inhabit the Arctic regions of North America and Greenland. Thanks to its isolation, the Arctic wolf is not threatened by hunting and habitat destruction in the same way as its southern relatives.    ",https://files.worldwildlife.org/wwfcmsprod/images/Arctic_Wolf/hero_small/3c68fid5qo_shutterstock_78609682.jpg,
Asian Elephant,Endangered,"Fewer than 50,000",Elephas maximus indicus,6.5–11.5 feet,"Around 11,000 pounds",Around 21 feet,Forests,"The Asian elephant is the largest land mammal on the Asian continent. They inhabit dry to wet forest and grassland habitats in 13 range countries spanning South and Southeast Asia. While they have preferred forage plants, Asian elephants have adapted to surviving on resources that vary based on the area.Asian elephants are extremely sociable, forming groups of six to seven related females that are led by the oldest female, the matriarch. Like African elephants, these groups occasionally join others to form larger herds, although these associations are relatively short-lived. In Asia, elephant herd sizes are significantly smaller than those of savannah elephants in Africa.More than two-thirds of an elephant's day may be spent feeding on grasses, but it also eats large amounts of tree bark, roots, leaves, and small stems. Cultivated crops such as bananas, rice, and sugarcane are favorite foods. Elephants are always close to a source of fresh water because they need to drink at least once a day.In Asia, humans have had close associations with elephants over many centuries, and elephants have become important cultural icons. According to Hindu mythology, the gods (deva) and the demons (asura) churned the oceans in a search for the elixir of life so that they would become immortal. As they did so, nine jewels surfaced, one of which was the elephant. In Hinduism, the powerful deity honored before all sacred rituals is the elephant-headed Lord Ganesha, who is also called the Remover of Obstacles.",https://files.worldwildlife.org/wwfcmsprod/images/asian_elephants_kui_buri_thailand/hero_small/3brsv7voo0_Asian_elephant_Kuiburi_Thailand.jpg,
